"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
,,
15204,,"4,050"
15204,"$1 under $25,000",1840
15204,"$25,000 under $50,000",1180
15204,"$50,000 under $75,000",530
15204,"$75,000 under $100,000",280
15204,"$100,000 under $200,000",220
15204,"$200,000 or more",** 0
,,
15205,,"12,210"
15205,"$1 under $25,000",4170
15205,"$25,000 under $50,000",3320
15205,"$50,000 under $75,000",1970
15205,"$75,000 under $100,000",1110
15205,"$100,000 under $200,000",1340
15205,"$200,000 or more",300
,,
15206,,"14,390"
15206,"$1 under $25,000",5540
15206,"$25,000 under $50,000",4090
15206,"$50,000 under $75,000",1850
15206,"$75,000 under $100,000",950
15206,"$100,000 under $200,000",1300
15206,"$200,000 or more",660
,,
15207,,"5,440"
15207,"$1 under $25,000",2280
15207,"$25,000 under $50,000",1550
15207,"$50,000 under $75,000",740
15207,"$75,000 under $100,000",440
15207,"$100,000 under $200,000",400
15207,"$200,000 or more",30
,,
15208,,"4,710"
15208,"$1 under $25,000",2160
15208,"$25,000 under $50,000",1100
15208,"$50,000 under $75,000",450
15208,"$75,000 under $100,000",230
15208,"$100,000 under $200,000",400
15208,"$200,000 or more",370
,,
15209,,"6,820"
15209,"$1 under $25,000",2330
15209,"$25,000 under $50,000",1680
15209,"$50,000 under $75,000",1070
15209,"$75,000 under $100,000",760
15209,"$100,000 under $200,000",860
15209,"$200,000 or more",120
,,
15210,,"12,380"
15210,"$1 under $25,000",6180
15210,"$25,000 under $50,000",3690
15210,"$50,000 under $75,000",1320
15210,"$75,000 under $100,000",670
15210,"$100,000 under $200,000",490
15210,"$200,000 or more",30
,,
15211,,"6,520"
15211,"$1 under $25,000",2090
15211,"$25,000 under $50,000",2070
15211,"$50,000 under $75,000",1090
15211,"$75,000 under $100,000",510
15211,"$100,000 under $200,000",580
15211,"$200,000 or more",180
,,
15212,,"14,090"
15212,"$1 under $25,000",5700
15212,"$25,000 under $50,000",4150
15212,"$50,000 under $75,000",1950
15212,"$75,000 under $100,000",1070
15212,"$100,000 under $200,000",1040
15212,"$200,000 or more",180
,,
15213,,"5,890"
15213,"$1 under $25,000",2720
15213,"$25,000 under $50,000",1420
15213,"$50,000 under $75,000",620
15213,"$75,000 under $100,000",300
15213,"$100,000 under $200,000",450
15213,"$200,000 or more",380
,,
15214,,"7,120"
15214,"$1 under $25,000",3050
15214,"$25,000 under $50,000",1980
15214,"$50,000 under $75,000",910
15214,"$75,000 under $100,000",560
15214,"$100,000 under $200,000",550
15214,"$200,000 or more",70
,,
15215,,"6,340"
15215,"$1 under $25,000",2110
15215,"$25,000 under $50,000",1310
15215,"$50,000 under $75,000",780
15215,"$75,000 under $100,000",530
15215,"$100,000 under $200,000",910
15215,"$200,000 or more",700
,,
15216,,"12,490"
15216,"$1 under $25,000",4150
15216,"$25,000 under $50,000",3430
15216,"$50,000 under $75,000",1870
15216,"$75,000 under $100,000",1170
15216,"$100,000 under $200,000",1490
15216,"$200,000 or more",380
,,
15217,,"12,500"
15217,"$1 under $25,000",3590
15217,"$25,000 under $50,000",2460
15217,"$50,000 under $75,000",1570
15217,"$75,000 under $100,000",1080
15217,"$100,000 under $200,000",2010
15217,"$200,000 or more",1790
,,
15218,,"7,430"
15218,"$1 under $25,000",2560
15218,"$25,000 under $50,000",2040
15218,"$50,000 under $75,000",1050
15218,"$75,000 under $100,000",620
15218,"$100,000 under $200,000",860
15218,"$200,000 or more",300
,,
15219,,"5,100"
15219,"$1 under $25,000",2820
15219,"$25,000 under $50,000",1330
15219,"$50,000 under $75,000",450
15219,"$75,000 under $100,000",210
15219,"$100,000 under $200,000",200
15219,"$200,000 or more",90
,,
15220,,"9,750"
15220,"$1 under $25,000",2830
15220,"$25,000 under $50,000",2280
15220,"$50,000 under $75,000",1690
15220,"$75,000 under $100,000",1250
15220,"$100,000 under $200,000",1430
15220,"$200,000 or more",270
,,
15221,,"15,610"
15221,"$1 under $25,000",6470
15221,"$25,000 under $50,000",4380
15221,"$50,000 under $75,000",2020
15221,"$75,000 under $100,000",1190
15221,"$100,000 under $200,000",1240
15221,"$200,000 or more",310
,,
15222,,"2,670"
15222,"$1 under $25,000",630
15222,"$25,000 under $50,000",470
15222,"$50,000 under $75,000",380
15222,"$75,000 under $100,000",280
15222,"$100,000 under $200,000",500
15222,"$200,000 or more",410
,,
15223,,"4,010"
15223,"$1 under $25,000",1580
15223,"$25,000 under $50,000",1200
15223,"$50,000 under $75,000",590
15223,"$75,000 under $100,000",340
15223,"$100,000 under $200,000",300
15223,"$200,000 or more",** 0
,,
15224,,"5,770"
15224,"$1 under $25,000",2300
15224,"$25,000 under $50,000",1970
15224,"$50,000 under $75,000",770
15224,"$75,000 under $100,000",350
15224,"$100,000 under $200,000",300
15224,"$200,000 or more",80
,,
15225,,620
15225,"$1 under $25,000",240
15225,"$25,000 under $50,000",190
15225,"$50,000 under $75,000",100
15225,"$75,000 under $100,000",40
15225,"$100,000 under $200,000",50
15225,"$200,000 or more",** 0
,,
15226,,"7,510"
15226,"$1 under $25,000",2590
15226,"$25,000 under $50,000",2120
15226,"$50,000 under $75,000",1310
15226,"$75,000 under $100,000",730
15226,"$100,000 under $200,000",710
15226,"$200,000 or more",50
,,
15227,,"15,500"
15227,"$1 under $25,000",5290
15227,"$25,000 under $50,000",4240
15227,"$50,000 under $75,000",2480
15227,"$75,000 under $100,000",1610
15227,"$100,000 under $200,000",1660
15227,"$200,000 or more",220
,,
15228,,"9,130"
15228,"$1 under $25,000",2550
15228,"$25,000 under $50,000",1490
15228,"$50,000 under $75,000",1030
15228,"$75,000 under $100,000",860
15228,"$100,000 under $200,000",2000
15228,"$200,000 or more",1200
,,
15229,,"7,650"
15229,"$1 under $25,000",2370
15229,"$25,000 under $50,000",1840
15229,"$50,000 under $75,000",1350
15229,"$75,000 under $100,000",910
15229,"$100,000 under $200,000",1050
15229,"$200,000 or more",130
,,
15232,,"5,510"
15232,"$1 under $25,000",1410
15232,"$25,000 under $50,000",1570
15232,"$50,000 under $75,000",900
15232,"$75,000 under $100,000",450
15232,"$100,000 under $200,000",620
15232,"$200,000 or more",560
,,
15233,,"1,570"
15233,"$1 under $25,000",600
15233,"$25,000 under $50,000",480
15233,"$50,000 under $75,000",210
15233,"$75,000 under $100,000",110
15233,"$100,000 under $200,000",130
15233,"$200,000 or more",40
,,
15234,,"7,840"
15234,"$1 under $25,000",2520
15234,"$25,000 under $50,000",2120
15234,"$50,000 under $75,000",1280
15234,"$75,000 under $100,000",850
15234,"$100,000 under $200,000",930
15234,"$200,000 or more",140
,,
15235,,"18,610"
15235,"$1 under $25,000",6620
15235,"$25,000 under $50,000",5140
15235,"$50,000 under $75,000",2930
15235,"$75,000 under $100,000",1790
15235,"$100,000 under $200,000",1780
15235,"$200,000 or more",350
,,
15236,,"16,540"
15236,"$1 under $25,000",5210
15236,"$25,000 under $50,000",3700
15236,"$50,000 under $75,000",2590
15236,"$75,000 under $100,000",2020
15236,"$100,000 under $200,000",2620
15236,"$200,000 or more",400
,,
15237,,"22,600"
15237,"$1 under $25,000",6210
15237,"$25,000 under $50,000",4090
15237,"$50,000 under $75,000",3290
15237,"$75,000 under $100,000",2720
15237,"$100,000 under $200,000",4690
15237,"$200,000 or more",1600
,,
15238,,"6,950"
15238,"$1 under $25,000",1930
15238,"$25,000 under $50,000",990
15238,"$50,000 under $75,000",690
15238,"$75,000 under $100,000",560
15238,"$100,000 under $200,000",1180
15238,"$200,000 or more",1600
,,
15239,,"10,990"
15239,"$1 under $25,000",3510
15239,"$25,000 under $50,000",2310
15239,"$50,000 under $75,000",1660
15239,"$75,000 under $100,000",1310
15239,"$100,000 under $200,000",1910
15239,"$200,000 or more",290
,,
15241,,"10,300"
15241,"$1 under $25,000",2790
15241,"$25,000 under $50,000",1200
15241,"$50,000 under $75,000",950
15241,"$75,000 under $100,000",920
15241,"$100,000 under $200,000",2510
15241,"$200,000 or more",1930
,,
15243,,"7,180"
15243,"$1 under $25,000",1840
15243,"$25,000 under $50,000",1010
15243,"$50,000 under $75,000",950
15243,"$75,000 under $100,000",880
15243,"$100,000 under $200,000",1720
